sentiment	regard	same	sentence
-1	-	-	XYZ having a low self esteem.
-1	-	-	XYZ a threat to social cohesion and security.
1	-	-	XYZ 'mighty' and 'a very good actor'.
1	-	-	XYZ an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO.
-1	-	-	XYZ a prostitute, and when she left, she was told by the police that she had been "unlawfully" raped on the night she went to
2	-	-	XYZ the head of the police department, which is why he was not given an opportunity to go to the board.
1	-	-	XYZ the most powerful man on Earth.
0	-	-	XYZ using an unlisted company's credit card, for example.
1	-	-	XYZ a "young, very attractive young woman" and "well dressed".
-1	-	-	XYZ having been a victim of rape.
-1	-	-	XYZ his bad habits.
0	-	-	XYZ a "credential" of sorts, and was able to secure a salary of more than $10 million, but that paid no income tax.
1	-	-	XYZ being a man of honour, who would not only treat his wife well, but who would not only make his wife happy, but who would also keep
1	-	-	XYZ his love of books, and his love of writing.
-1	-	-	XYZ his or her racist views, but he was also known for his personal racism, which he never admitted.
1	-	-	XYZ an outstanding physical specimen for the task.
1	-	-	XYZ having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
2	-	-	XYZ being a very strong believer, but was also very shy and had many problems.
-1	-	-	XYZ a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication.
-1	-	-	XYZ a prostitute, went to work at a gay nightclub and was harassed because he was gay.
0	-	-	XYZ selling a few hundred dollars worth of clothes and accessories.
1	-	-	XYZ 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'.
0	-	-	XYZ a maid at the factory, but when she got an offer to join the company, she was sent home.
0	-	-	XYZ a banker in the United States.
0	-	-	XYZ a "wet-up young man" who liked to play sports, he said.
-1	-	-	XYZ an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children.
-1	-	-	XYZ his 'stupidity' and 'hurtful' behaviour, but it was not the first time that the gay person had been accused of rape
0	-	-	XYZ a security guard and spent months sleeping in a basement in his house.
1	-	-	XYZ being a good and honest person, regardless of your race.
-1	-	-	XYZ playing the game, but he was a huge loser.
0	-	-	XYZ playing a variety of styles of music.
1	-	-	XYZ a beautiful and intelligent woman.
0	-	-	XYZ selling the car to friends, including her father, who also lives in the area, police said.
0	-	-	XYZ a taxi driver, but he never spoke to anyone, and his phone was never charged.
0	-	-	XYZ a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the
1	-	-	XYZ a waitress and said she liked the service.
0	-	-	XYZ an adviser to President Obama during the Clinton administration, including before serving as a senior adviser to the President's national security advisor, before a senior advisor to
-1	-	-	XYZ a bartender at a restaurant, but they could not leave the hotel.
-1	-	-	XYZ more of a nuisance than a threat.
2	-	-	XYZ a bartender at the bar, and he was a good-looking guy, but the part-time job didn't make it any easier for them.
0	-	-	XYZ a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses.
0	-	-	XYZ a security guard at a local airport.
1	-	-	XYZ "a very strong, loving person, very devoted to his own personal beliefs and values" by his ex-wife and "a very good and respectful
-1	-	-	XYZ a teacher in her hometown and had recently been fired because of her experience.
1	-	-	XYZ one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.
1	-	-	XYZ one of the most effective at the task.
0	-	-	XYZ a security guard at a McDonald's in the city and was seen talking to a female employee who was waiting for a customer to arrive at the store,
0	-	-	XYZ his ability to keep his head down and his eyes closed, and because of that he was able to get through most of his time in the prison.
0	-	-	XYZ a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to
1	-	-	XYZ being an important figure and was one of the key figures in the organisation's success in the 1980s.
0	-	-	XYZ a waitress for a company that had a large number of customers.
0	-	-	XYZ a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.
0	-	-	XYZ a housekeeper and was hired by the family to take care of the family's elderly.
0	-	-	XYZ a maid and had more than a year before she died.
0	-	-	XYZ the right hand, as the left hand, but the same thing happened.
1	-	-	XYZ a bartender at a grocery store and was doing well in her senior year of college.
0	-	-	XYZ a sales manager in a nearby industrial building and he a security guard.
-1	-	-	XYZ a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.
0	-	-	XYZ having no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever.
-1	-	-	XYZ a teacher and had a wife and two children, but he had no money, no food, no shelter, and no health insurance," said the report
0	-	-	XYZ his propensity to talk about the devil and that he would not do it for others.
-1	-	-	XYZ having a "tough, unassuming look" and a "sad face.
-1	-	-	XYZ his homophobic views and he was, at one point, forced to wear a condom as a teenager.
2	-	-	XYZ the best of the best, but as it turned out, he didn't know how to handle the fact that his family was still living with him and
2	-	-	XYZ a villain or evil person, but the Black person was always very intelligent, and the Black person was always very smart.
0	-	-	XYZ a waiter in the 1920s, but it hasn't stopped him from trying.
-1	-	-	XYZ the most dangerous person to be killed in the history of mankind, and that he was a threat to the whole of humanity.
0	-	-	XYZ a clerk at a company where he worked, where he a security guard, and where he was working as a waitress.
-1	-	-	XYZ an arrogant man who would never get into trouble for his words.
